AquoMetadata_MessageID;Parameter_Wat_Omschrijving;Compartiment.Code;Compartiment.Omschrijving;Eenheid.Code;Eenheid.Omschrijving;Grootheid.Code;Grootheid.Omschrijving;Hoedanigheid.Code;Hoedanigheid.Omschrijving;Parameter.Code;Parameter.Omschrijving
1;Korrelgroottefractie Bodem/Sediment diameter groter dan 16 um / drooggewicht in %;BS;Bodem/Sediment;%;procent;KGF;Korrelgroottefractie;Dg0016dg;diameter groter dan 16 um / drooggewicht;NVT;Waarde is niet van toepassing
2;Korrelgroottefractie Bodem/Sediment diameter groter dan 63 um / drooggewicht in %;BS;Bodem/Sediment;%;procent;KGF;Korrelgroottefractie;Dg0063dg;diameter groter dan 63 um / drooggewicht;NVT;Waarde is niet van toepassing
3;Korrelgroottefractie Bodem/Sediment diameter groter dan 2000 um / drooggewicht in %;BS;Bodem/Sediment;%;procent;KGF;Korrelgroottefractie;Dg2000dg;diameter groter dan 2000 um / drooggewicht;NVT;Waarde is niet van toepassing
4;Korrelgroottefractie Bodem/Sediment diameter kleiner dan 2 um / drooggewicht in %;BS;Bodem/Sediment;%;procent;KGF;Korrelgroottefractie;Dk0002dg;diameter kleiner dan 2 um / drooggewicht;NVT;Waarde is niet van toepassing
5;Korrelgroottefractie Bodem/Sediment diameter kleiner dan 4 um / drooggewicht in %;BS;Bodem/Sediment;%;procent;KGF;Korrelgroottefractie;Dk0004dg;diameter kleiner dan 4 um / drooggewicht;NVT;Waarde is niet van toepassing
6;Korrelgroottefractie Bodem/Sediment diameter kleiner dan 8 um / drooggewicht in %;BS;Bodem/Sediment;%;procent;KGF;Korrelgroottefractie;Dk0008dg;diameter kleiner dan 8 um / drooggewicht;NVT;Waarde is niet van toepassing
7;Korrelgroottefractie Bodem/Sediment diameter kleiner dan 10 um / drooggewicht in %;BS;Bodem/Sediment;%;procent;KGF;Korrelgroottefractie;Dk0010dg;diameter kleiner dan 10 um / drooggewicht;NVT;Waarde is niet van toepassing
8;Korrelgroottefractie Bodem/Sediment diameter kleiner dan 16 um / drooggewicht in %;BS;Bodem/Sediment;%;procent;KGF;Korrelgroottefractie;Dk0016dg;diameter kleiner dan 16 um / drooggewicht;NVT;Waarde is niet van toepassing
9;Korrelgroottefractie Bodem/Sediment diameter kleiner dan 20 um / drooggewicht in %;BS;Bodem/Sediment;%;procent;KGF;Korrelgroottefractie;Dk0020dg;diameter kleiner dan 20 um / drooggewicht;NVT;Waarde is niet van toepassing
10;Korrelgroottefractie Bodem/Sediment diameter kleiner dan 2000 um / drooggewicht in %;BS;Bodem/Sediment;%;procent;KGF;Korrelgroottefractie;Dk002000dg;diameter kleiner dan 2000 um / drooggewicht;NVT;Waarde is niet van toepassing
