speciesname_original;modified;speciesname_corrected;identificationQualifier;author;AphiaID;Match type;LSID;TSN;ScientificName;Authority;Qualitystatus;Taxon status;AphiaID_accepted;ScientificName_accepted;Authority_accepted;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species;Subspecies;isMarine;isBrackish;isFresh;isTerrestrial;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation;Citation
Eukaryota;none;Eukaryota;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biota;ambiguous;Biota;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cryptomonas rostrata;ambiguous;Cryptomonas rostrata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diatoma;ambiguous;Diatoma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eudorina elegans;ambiguous;Eudorina elegans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gomphonema;ambiguous;Gomphonema;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nodularia;ambiguous;Nodularia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pandorina;ambiguous;Pandorina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stephanodiscus tenuis;ambiguous;Stephanodiscus tenuis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ulnaria;ambiguous;Ulnaria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crucigeniella;ambiguous;Crucigeniella;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plagiolemma distortum;exact;Plagiolemma distortum;;;1442452;exact;urn:lsid:marinespecies.org:taxname:1442452;;Plagiolemma distortum;Nézan in Nézan et al., 2018;Checked by Taxonomic Editor;accepted;1442452;Plagiolemma distortum;Nézan in Nézan et al., 2018;Chromista;Ochrophyta;Bacillariophyceae;Naviculales;Plagiotropidaceae;Plagiolemma;;distortum;;1;1;0;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2020). DiatomBase. Plagiolemma distortum Nézan in Nézan et al., 2018. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=1442452 on 2020-06-26;;
