"Id";"CASnummer";"Codes";"Omschrijving";"Groep";"Begin geldigheid";"Eind geldigheid";"Status";"Gerelateerd";"Guid"
10;"78-99-9";"11DClC3a";"1,1-dichloorpropaan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-5649f4b1-4299-4f68-a9f2-0ab37a7fb096"
100;"636-30-6";"245TClAn";"2,4,5-trichlooraniline";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-3fb5883c-fc3d-4084-8e07-45ab1e6130d0"
101;"95-95-4";"245TClFol";"2,4,5-trichloorfenol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-7a2e3f52-32f9-41a5-ba1c-3364807f6754"
102;"93-76-5";"245T";"2,4,5-trichloorfenoxyazijnzuur";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-390a242d-4c4b-433f-b53b-53f29d06f5cb"
103;"93-72-1";"245TP";"2,4,5-trichloorfenoxypropionzuur";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-83b84bf5-28db-4286-b49f-bafb51120680"
104;"634-93-5";"246TClAn";"2,4,6-trichlooraniline";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-18233fb8-20d1-448f-8813-1597ac1722bd"
106;"88-06-2";"246TClFol";"2,4,6-trichloorfenol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-2e84da00-82c2-4293-9c41-931f8b3fbc60"
107;"527-60-6";"246TC1yFol";"2,4,6-trimethylfenol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-56326637-a63d-40e4-988c-d1e4b14b6885"
108;"NVT";"s2425DClAn";"som 2,4- en 2,5-dichlooraniline";"ChemischeStof";"2013-07-06";"2100-01-01";"Geldig";"";"Id-4fe30f92-dafa-4177-a83a-ac9ecb9eded6"
109;"NVT";"s2425DClFol";"som 2,4- en 2,5-dichloorfenol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"Id-fe5320d6-26bc-416a-a87e-bf0cc4394cff";"Id-2af1db2a-7560-4085-a1be-bcb702c814db"
1097;"7439-97-6";"Hg";"kwik";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-dff54be3-b300-4717-bce4-0f3dc80e52cc"
11;"35822-46-9";"PCDD73";"1,2,3,4,6,7,8-heptachloordibenzo-p-dioxine";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-ed24473d-1724-4e54-9b48-a5d9513e5bdd"
110;"84989-06-0";"s2425DC1yFol";"som 2,4- en 2,5-dimethylfenol (teerzuurfractie)";"ChemischeStof";"2020-03-13";"2100-01-01";"Geldig";"";"Id-e1342887-ca80-45e8-a27d-715f78a67a74"
111;"53-19-0";"24DDD";"2,4'-dichloordifenyldichloorethaan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-12ed1ebc-d671-4603-8ee0-23e7fec6e28e"
1112;"7439-91-0";"La";"lanthaan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-c1cadff5-584e-4099-bb52-60103f1fc89f"
1113;"60-33-3";"linzr";"linolzuur";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-9589e1a3-97a3-4ebd-b1b2-a4309d50c55e"
1114;"330-55-2";"linrn";"linuron";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-028d94eb-f00d-4fc5-8e52-02d65e304069"
1115;"7439-93-2";"Li";"lithium";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-bdb7d0e9-7a7b-4c69-83c4-7f584001e7ec"
1116;"7439-92-1";"Pb";"lood";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-5524c847-8d21-428b-a136-00abc1fae19c"
1118;"NVT";"KGV";"Korrel grootte verdeling";"Ongedefinieerd";"2011-06-08";"2011-08-26";"Vervallen";"";"Id-3a7b514d-f7f3-431b-9048-467594ba3b9c"
1118;"NVT";"KGF";"Korrelgroottefractie";"Grootheid";"2011-06-08";"2100-01-01";"Geldig";"";"Id-72cd3149-1368-4b60-aba5-cb293abafa49"
112;"3424-82-6";"24DDE";"2,4'-dichloordifenyldichlooretheen";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-e59cc5b9-60f8-49a4-82ab-e5b0d854e015"
1121;"NVT";"MGETAL";"M-getal (indicator methyloranje)";"Grootheid";"2011-06-08";"2013-06-30";"Vervallen";"";"Id-f33268b2-3fc4-4987-a858-76a46955dad9"
1121;"NVT";"MGETAL";"M-getal";"Grootheid";"2013-07-01";"2100-01-01";"Geldig";"Id-a945dfd3-4101-49fb-a58f-4b24e8f52b18";"Id-4e9c3564-9d60-4109-8f19-9ecd30394147"
1125;"7439-95-4";"Mg";"magnesium";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"Id-af4165f9-34d0-45b0-aee0-d564217947dd";"Id-2e6851cc-18c2-424b-bf1b-90fd698e46f5"
1127;"121-75-5";"malton";"malathion";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-503edb08-0956-43d9-99fd-adbcdad1178a"
1128;"7439-96-5";"Mn";"mangaan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-0282afaa-fa90-428c-acfa-704a556dce0a"
113;"789-02-6";"24DDT";"2,4'-dichloordifenyltrichloorethaan";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-a7d76da2-d364-4ae4-8b51-c1ad1cb10a16"
1133;"2595-54-2";"mecbm";"mecarbam";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-9837bf0e-145b-49ec-93cc-c638bae5ea9e"
1139;"149-30-4";"2benztazetol";"2-benzothiazolethiol";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-64b835f2-30b1-4d05-affd-033376101a82"
114;"554-00-7";"24DClAn";"2,4-dichlooraniline";"ChemischeStof";"2011-06-08";"2100-01-01";"Geldig";"";"Id-11510db2-0e8e-4859-baa5-21e4d0958a75"
1141;"141-79-7";"mestoxde";"mesityloxide";"ChemischeStof";"2013-07-06";"2100-01-01";"Geldig";"";"Id-cebc6ddb-319c-437e-91a1-f014c58f7cb3"
