"conceptid";"preflabel";"modified";"altlabel";"definition"
"AMPB";"Amperes";"4/7/2020 11:42:31";"A";"The SI base unit of electric current equal to a flow of one coulomb per second."
"BQ11";"Becquerels";"5/30/2019 19:56:49";"Bq";"The SI derived unit of radioactivity defined as one radioactive disintegration per second."
"BQM3";"Becquerels per cubic metre";"2/2/2018 16:35:30";"Bq/m^3";"One radioactive disintegration per second from an SI standard unit of volume. Equivalent to millibecquerels per litre."
"BQSM";"Becquerels per square metre";"3/26/2015 14:48:06";"Bq/m^2";"One radioactive disintegration per second per SI unit area."
"BSM3";"Becquerels second per cubic metre";"1/20/2019 17:48:48";"Bq.s/m^3";"TBC"
"BYTE";"Bytes";"9/1/2005 01:39:50";"Bytes";"Unavailable"
"CCPM";"Millilitres per minute";"9/19/2007 01:09:08";"ml/min";"Unavailable"
"CMCM";"Cubic millimetres per cubic metre";"3/12/2015 14:42:52";"mm^3/m^3";"One part in 10^9 of the SI unit of volume in the SI unit of volume."
"CMPS";"Cubic metres per second";"12/11/2017 18:51:03";"m^3/s";"A rate of volumetric flow of one SI unit of volume per one SI unit of time. Also known as 'cumecs'."
"CMUM";"Micromoles per cubic metre";"11/10/2015 09:41:45";"umol/m^3";""
"DBPY";"Decibars per year";"12/8/2017 18:08:51";"dbar/yr";"A rate of change of pressure expressed in decibars over a period of an average calendar year (365.25 days)."
"DCPY";"Degrees Celsius per year";"12/8/2017 17:56:32";"degC/yr";"A rate of change of temperature expressed on the Celsius scale over a period of an average calendar year (365.25 days)."
"DEGE";"Degrees east";"6/17/2009 15:23:55";"degree_east";"Unavailable"
"DEGF";"Degrees Fahrenheit";"2/4/2014 00:49:44";"degF";"Unit of object hotness based upon a scale having 32 as the freezing point of water and 212 as the boiling point of water."
"DEGN";"Degrees north";"6/17/2009 15:23:30";"degree_north";"Unavailable"
"DGPS";"Degrees per second";"6/11/2009 14:18:49";"deg/s";"Unavailable"
"DKM2";"Degrees Celsius kilogram per square metre";"6/22/2017 09:17:57";"degC.kg/m^2";"Derived unit for the product of the temperature in degrees Celsius and the mass density of a medium, integrated over vertical depth or height in metres."
"DKPM";"Degrees Kelvin per metre";"11/4/2010 13:17:08";"degK/m";"A rate of change of one unit on the Kelvin temperature scale per unit length of one metre."
"EQPL";"Equivalents per litre";"12/10/2015 15:31:32";"Equiv/l";"The amount of substance or substances in a litre of solution that will react with one gram of hydrogen."
"EVLT";"Electronvolts";"1/18/2018 22:12:46";"eV";"The amount of energy gained or lost by the charge of a single electron moving across an electric potential difference of one volt. One electronvolt equal to 1.602*10-19 joules."
"FGKG";"Femtograms per kilogram";"2/22/2012 15:46:52";"fg/kg";"One part per 10**18 by weight of the measurand in the matrix."
"FGPL";"Femtograms per litre";"2/4/2014 00:55:12";"fg/l";"One 10**18 part of the SI standard unit of mass of the measurand per litre volume of matrix.."
"FMKG";"Femtomoles per kilogram";"2/4/2014 00:49:44";"fmol/kg";"A 10**18 part quantity of substance of the measurand per kilogram mass of matrix."
"GCM2";"Grams per square centimetre";"5/20/2019 15:42:21";"g/cm^2";"A non-SI unit of pressure (sometimes referred to as gram-force per centimetre square) equivalent to 98.0665 Pascals."
"GPRG";"Grams per gram";"6/1/2015 09:54:11";"g/g";"One part by weight of the measurand in the matrix."
"GQCY";"Grams per square centimetre per year";"6/10/2015 09:54:24";"g/cm^2/yr";"A rate of change of 0.001 of the SI unit of mass over 0.00001 of the SI unit of area in a period of an average calendar year (365.25 days)"
"HCTR";"Hectares";"5/5/2020 17:49:18";"ha";"A non-SI unit of area equal to a square with 100-metre sides or 10,000 square metres."
"HPAH";"Hectopascals per hour";"1/26/2011 16:51:14";"hPa/h";"A change in pressure of one hundred Newtons per square metre (100 Pascals) per hour.  Equivalent to a change of one millibar per hour."
"HPAX";"Hectopascals";"5/27/2014 12:29:50";"hPa";"A pressure of one hundred Newtons per square metre (100 Pascals).  Equivalent to a millibar."
"JCMH";"Joules per square centimetre per day";"1/28/2015 09:30:37";"J/cm^2/d";"Radiant energy per 10^-4 SI unit area over a period of one day."
"JKGK";"Joules per kilogram per Kelvin";"6/11/2009 01:14:23";"J/kg/K";"Unavailable"
"JMSQ";"Joules per square metre";"6/11/2009 01:20:04";"J/m^2";"Unavailable"
"JOUL";"Joule";"8/10/2017 01:25:40";"J";"A derived unit of energy in the International System of Units. It is equal to the energy transferred (or work done) when applying a force of one newton through a distance of one metre (1 newton metre or Nm), or in passing an electric current of one ampere through a resistance of one ohm for one second. It is named after the English physicist James Prescott Joule (1818-1889)."
"JPKG";"Joules per kilogram";"6/11/2009 01:04:27";"J/kg";"Unavailable"
"KGAK";"Kilograms per square kilometre";"2/10/2019 14:15:07";"kg/km^2";"One SI standard unit of mass over the square of one thousand standard unit of length."
"KGMH";"Kilograms per metre per hour";"1/20/2020 15:32:17";"kg/m/h";"One SI standard unit of mass over one SI standard unit of length over 3600 times one SI standard unit of time."
"KGNM";"Nanomoles per kilogram";"6/17/2004 14:41:07";"nmol/kg";"Unavailable"
"KGPH";"Kilograms per hour";"3/17/2017 14:45:02";"kg/h";"Unavailable"
"KGPM";"Picomoles per kilogram";"9/6/2007 12:34:55";"pmol/kg";"Unavailable"
"KGPS";"Kilogram per second";"6/11/2009 14:21:36";"kg/s";"Unavailable"
"KGS2";"Kilograms squared per second squared";"7/6/2009 22:24:54";"kg^2/s^2";"Unavailable"
"KGUM";"Micromoles per kilogram";"6/17/2004 14:41:21";"umol/kg";"Unavailable"
"KGXX";"Kilograms";"7/26/2017 18:31:20";"kg";"The SI standard unit of mass."
"KIPA";"Kilopascals";"2/4/2014 00:49:44";"kPa";"A force of one thousand Newtons per square metre."
"KLSQ";"Kelvin squared";"6/11/2009 15:48:06";"K^2";"Unavailable"
"KMDY";"Kilometres per day";"2/4/2014 00:49:44";"km/d";"A change in location of a distance of one thousand metres in an elapsed time of one day (86400 seconds)."
"KMP2";"Kilograms per square metre";"6/11/2009 14:25:00";"kg/m^2";"Unavailable"
"KMPS";"Kilograms per metre per second";"6/11/2009 14:23:32";"kg/m/s";"Unavailable"
"KMSS";"Kelvin square metres per kilogram per second";"6/11/2009 01:39:22";"K.m^2/kg/s";"Unavailable"
"KMTS";"Kelvin metres per second";"6/11/2009 01:23:52";"K.m/s";"Unavailable"
"KMTX";"Kelvin metres";"6/11/2009 01:22:54";"K.m";"Unavailable"
"KPAS";"Kelvin Pascals per second";"6/11/2009 01:22:08";"K.Pa/s";"Unavailable"
"KPMT";"Kelvin per metre";"6/11/2009 01:25:09";"K/m";"Unavailable"
"KPRS";"Kelvin per second";"6/11/2009 01:31:51";"K/s";"Unavailable"
"KSP2";"Kilograms per square metre per second";"6/11/2009 14:25:51";"kg/m^2/s";"Unavailable"
"KSP3";"Kilograms per cubic metre per second";"6/11/2009 14:27:13";"kg/m^3/s";"Unavailable"
"KSXX";"Kelvin second";"6/11/2009 01:31:02";"K.s";"Unavailable"
"LPUM";"Litres per micromole";"6/24/2014 01:09:26";"l/umol";"The inverse of a molar concentration - the untits of per molarity."
"M2HD";"Square metres per Hertz per degree";"7/6/2016 11:39:13";"m^2/Hz/deg";"Unavailable"
"M2MM";"Moles per square metre per second per metre";"6/11/2009 15:37:18";"mol/m^2/s/m";"Unavailable"
"M2MS";"Moles per square metre per second";"2/4/2014 00:49:44";"mol/m^2/s";"SI unit of quantity of matter per SI unit area per SI unit of time."
"M2RD";"Square metre seconds per radian";"6/11/2009 15:46:10";"m2.s/rad";"Unavailable"
"M2S2";"per square metre per second";"7/6/2009 22:31:54";"/m^2/s";"Unavailable"
"M2SR";"Moles per square metre per second per metre per steradian";"6/11/2009 15:38:07";"mol/m^2/s/m/sr";"Unavailable"
"M2SX";"Square metre seconds";"6/11/2009 14:44:06";"m^2.s";"Unavailable"
"M3PS";"per cubic metre per second";"6/11/2009 16:18:07";"/m^3/s";"Unavailable"
"M3SR";"Moles per square metre per second per steradian";"6/11/2009 15:38:42";"mol/m^2/s/sr";"Unavailable"
"M4S1";"Metres to the power four per second";"2/28/2017 00:22:01";"m^4/s";"Unavailable"
"MAKG";"Million atoms per kilogram";"1/20/2019 17:47:01";"10^6at/kg";"Unit based on one million atoms in a SI standard unit of mass."
"MBPG";"Millibecquerels per gram";"5/3/2018 22:30:32";"mBq/g";"One radioactive disintegration per thousand seconds per 1000th SI unit of sample mass."
"MBQF";"Millibecquerels per square metre per day";"1/20/2019 17:32:57";"mBq/m^2/d";"One radioactive disintegration per thousand seconds in material passing through an area of one square metre during a period of one day (86400 seconds)."
"MBQK";"Millibecquerels per kilogram";"6/7/2014 12:03:42";"mBq/kg";"One radioactive disintegration per thousand seconds from an SI standard unit of mass of sample."
"MBYT";"Megabytes";"9/1/2005 01:39:15";"MByte";"Unavailable"
"MCMD";"Millimoles per cubic metre per day";"12/10/2015 15:54:48";"mmol/m^3/d";"Unavailable."
"MCS2";"Cubic metres per second squared";"6/11/2009 14:42:13";"m^3/s^2";"Unavailable"
"MCUB";"Cubic metres";"6/11/2009 14:33:19";"m^3";"Unavailable"
"MCUG";"Micrograms per cubic metre";"4/12/2010 15:53:07";"ug/m^3";"Unavailable"
"MEKG";"MilliEquivalents per kilogram";"2/5/2013 11:48:23";"mEquiv/kg";"The amount of substance or substances in a kilogram of solution that will react with one milligram of hydrogen."
"MEQL";"MilliEquivalents per litre";"12/18/2012 09:41:20";"mEquiv/l";"The amount of substance or substances in a litre of solution that will react with one milligram of hydrogen."
"MGAL";"MilliGals";"2/4/2014 00:49:44";"mGal";"One thousandth part of a unit of gravitational acceleration equal to one centimetre per second per second."
"MGLH";"Micrograms per litre per hour";"1/8/2015 13:39:12";"ug/l/h";"A rate of change of mass of a measurand equivalent to 10^-9 kilogram (the SI unit of mass) per litre volume of matrix over a period of 1 hour."
"MGPG";"Milligrams per gram";"11/12/2015 15:23:23";"mg/g";"One part per 10**3 (thousand) by weight of the measurand in the matrix."
"MGPM";"MilliGals per month";"7/17/2014 14:40:21";"mGal/mon";"A rate of change of one millionth part of a unit of gravitational acceleration equal to one centimetre per second per second over a time duration of 30.4375 days or 2629800 seconds."
"MGSQ";"Milligrams per square metre per hour";"5/5/2005 10:02:36";"mg/m^2/h";"Unavailable"
"MIKG";"Millilitres per kilogram";"1/8/2015 13:52:17";"ml/kg";"SI unit of volume scaled by 10**-6 per SI unit of mass."
"MLKG";"Moles per kilogram";"6/11/2009 15:27:57";"mol/kg";"Unavailable"
"MLM2";"Moles per square metre";"2/4/2014 00:49:44";"mol/m^2";"SI unit of quantity of matter per SI unit area."
"MLM3";"Moles per cubic metre";"2/4/2014 00:49:44";"mol/m^3";"SI unit of quantity of matter per SI unit volume."
"MLPS";"Moles per second";"6/11/2009 15:31:56";"mol/s";"Unavailable"
"MM3S";"Moles per cubic metre per second";"2/4/2014 00:49:44";"mol/m^3/s";"SI unit of quantity of matter per SI unit volume per SI unit of time."
"MMCM";"Millimoles per cubic metre";"12/10/2015 15:52:57";"mmol/m^3";"Unavailable."
"MMKG";"Millimoles per kilogram";"5/27/2014 12:24:38";"mmol/kg";"One part in 10**3 of the SI unit of quantity of matter per SI unit of mass."
"MMOM";"Millimoles per mole";"9/19/2007 11:07:12";"mmol/mol";"Unavailable"
"MMPD";"Millimetres per day";"2/4/2014 00:49:44";"mm/d";"A change in location of a distance of one thousandth (0.001) of a metre in an elapsed time of one day (86400 seconds)."
"MMPH";"Millimetres per hour";"2/20/2008 11:50:20";"mm/h";"Unavailable"
