"conceptid";"preflabel";"modified";"altlabel";"definition"
"S0600001";"14C age";"2/17/2006 11:19:39";"";"The age of an object determined by radiocarbon dating expressed relative to a datum of AD 1950."
"S0600002";"Abundance";"2/17/2006 11:19:39";"";"The number of occurrences of an entity per unit area or per unit volume."
"S0600003";"Accumulation rate";"2/17/2006 11:19:39";"";"The rate at which the quantity of an entity increases."
"S0600005";"Biosurface area";"2/17/2006 11:19:39";"";"The surface area of organisms per unit area of per unit volume."
"S0600006";"Biovolume";"2/17/2006 11:19:39";"";"The volume of of organisms per unit area of per unit volume."
"S0600007";"Clearance rate";"9/11/2018 16:49:52";"";"In marine biology the clearance rate is the volume of water cleared of suspended particles over a given period of time."
"S0600008";"Count";"2/17/2006 11:19:39";"";"The number of occurrences of an entity."
"S0600009";"Evacuation rate";"2/17/2006 11:19:39";"";"The rate at which an organism disposes of a substance as solid waste."
"S0600010";"Expression";"2/17/2006 11:19:39";"";"Indication of whether or not a specified gene is present in an organism."
"S0600011";"Grazing coefficient";"2/17/2006 11:19:39";"";"The proportion of a substance or biomass removed per unit time through being eaten."
"S0600012";"Growth coefficient";"2/17/2006 11:19:39";"";"The increase in biomass of an organism per unit time."
"S0600013";"Growth efficiency";"2/17/2006 11:19:39";"";"The amount of new  biomass produced per unit of organic C substrate assimilated."
"S0600014";"Gut pigment content";"2/17/2006 11:19:39";"";"The quantity of plant pigments in the gut of an organism."
"S0600015";"Length";"2/17/2006 11:19:39";"";"The longest horizontal dimension of an object"
"S0600016";"Number of clones";"2/17/2006 11:19:39";"";"A count of genetically identical organisms"
"S0600017";"Production rate";"2/17/2006 11:19:39";"";"The rate at which a substance or an entity is produced."
"S0600018";"Proportion";"2/17/2006 11:19:39";"";"A quantified subset of an entity."
"S0600019";"Proportion hatching";"2/17/2006 11:19:39";"";"The quantified subset of eggs hatching."
"S0600020";"Relative abundance";"2/17/2006 11:19:39";"";"The number of one entity per unit area or per unit volume relative to another."
"S0600021";"Relative hybridisation";"2/17/2006 11:19:39";"";"The proportion of an organism combining with a genetic probe."
"S0600022";"Sedimentation flux";"2/17/2006 11:19:39";"";"The quantity of an entity gravitationally settling through a medium per unit area per unit time."
"S0600023";"Size";"2/17/2006 11:19:39";"";"A randomly-oriented measurement of the dimension of an object."
"S0600024";"Turnover rate";"2/17/2006 11:19:39";"";"The rate at which a substance or an entity is consumed."
"S0600025";"Volume";"2/17/2006 11:19:39";"";"The amount of 3-dimensional space occupied by an object"
"S0600039";"Enrichment";"9/2/2015 09:12:57";"";"The change in the relative abundances of the isotope of a given element relative to a known abundance either in the past geological record or used as a tracer in biological and chemical process rate measurements."
"S0600040";"Mass ratio";"9/2/2015 09:12:57";"";"The calculated ratio of the amount of two specified substances."
"S0600041";"Proportion of total fatty acids";"9/2/2015 09:12:57";"";"A part or amount considered in relation to the total fatty acids in a sample or entity. A fatty acid being a carboxylic acid with a long aliphatic tail chain."
"S0600042";"Mass";"9/2/2015 09:12:57";"";"The amount of a specified substance."
"S0600043";"Activity";"9/2/2015 09:12:57";"";"The number of disintegrations of a radioactive substance in a given unit of time (physics) or in the ability of a substance to take part in a chemical reaction (chemistry)."
"S0600045";"Concentration";"9/2/2015 09:12:57";"";"The amount of a specified substance in a unit amount of another substance or matrix."
"S0600046";"Uptake rate";"9/29/2015 11:51:38";"";"The speed with which a substance is taken in by cellular organisms or organs."
"S0600047";"Partial pressure";"11/12/2015 00:17:09";"";"The pressure exerted by a gas as part of a gas mixture."
"S0600048";"Enrichment with respect to 143Nd/144Nd in the CHondritic Uniform Reservoir (CHUR)";"2/1/2016 18:52:00";"";"Departure of the isotope ratio 143Nd/144Nd from the CHondritic Uniform Reservoir (CHUR) evolution line."
"S0600049";"Excess activity";"4/27/2022 18:00:33";"";"Difference between the measured activity of a radioactive isotope and the activity of that isotope predicted from equilibrium in-situ decay of its parent in a decay scheme.  This difference is used as the basis for radiometric dating."
"S0600050";"Concentration as carbon";"5/1/2016 18:55:44";"";"Concentration expressed in terms of carbon."
"S0600051";"Saturation";"5/1/2016 18:55:44";"";"A ratio of the measured concentration of a dissolved element or compund in the water to the maximum amount of that element or compound that will dissolve in the water at that temperature and pressure under stable equilibrium."
"S0600052";"Riverine discharge";"5/1/2016 18:55:44";"";"Mass or volume of a substance passing from a river into the sea usually stated over a period of time."
"S0600053";"Enrichment with respect to Vienna Pee Dee Belemnite (VPDB)";"5/1/2016 18:55:44";"";"The change in the relative abundance of an isotope of a given element relative to the reference abundance measured in Vienna Pee Dee Belemnite."
"S0600054";"Apparent utilisation";"5/20/2016 12:23:26";"";"The difference between the measured chemical susbtance concentration and its equilibrium saturation concentration in a matrix with the same physical and chemical properties."
"S0600056";"Concentration recalculated to zero salinity";"11/9/2016 15:30:42";"";"The concentration of a substance in solution calculated as the equivalent in a zero salinity solution."
"S0600057";"Enrichment with respect to 138Ba/134Ba in NIST SRM 3104a";"8/10/2017 01:25:40";"delta(138/134BaNIST)";"Deviation of the 138Ba/134Ba isotopic ratio of a sample relative to the standard solution SRM 3104a, a reference material for Barium (Ba) developed by the US National Institute of Standards and Technology, defined as delta(138/134Ba)NIST =([138Ba/134Ba]sample/[138Ba/134Ba]NIST)-1)×1000. One delta unit represents a one part per 1,000 deviation from the NIST standard composition."
"S0600058";"Enrichment with respect to 112Cd/110Cd in NIST SRM 3108";"8/10/2017 01:25:40";"delta(112/110CdNIST)";"Deviation of the 112Cd/110Cd isotopic ratio of a sample relative to the standard solution SRM 3108, a reference material for cadmium (Cd) developed by the US National Institute of Standards and Technology. It is defined as delta(112/110Cd)NIST =([112Cd/110Cd]sample/[112Cd/110Cd]NIST)-1)×1000. One delta unit represents a one part per 1,000 deviation from the NIST standard composition."
