"CASnummer","Id","Codes","Omschrijving","Groep","Begin.geldigheid","Eind.geldigheid","Status","Gerelateerd","Guid","Exactmatch"
"100-00-5",61,"1Cl4NO2Ben","1-chloor-4-nitrobenzeen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-7e00c84b-497a-41a3-8821-6396ee5506f7","http://vocab.nerc.ac.uk/collection/S27/current/CS004089/"
"100-41-4",728,"C2yBen","ethylbenzeen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-a9e5876d-a57c-4920-a97c-20da9d04de09","http://vocab.nerc.ac.uk/collection/S27/current/CS003317/"
"100-42-5",1503,"styrn","styreen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-50c52d2a-9ab6-4ceb-b16e-fc58f5949e76","http://vocab.nerc.ac.uk/collection/S27/current/CS003166/"
"100-44-7",3224,"benzCl","benzylchloride","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-b3dbd9c5-feb4-491e-b153-bf281aab588e","http://vocab.nerc.ac.uk/collection/S27/current/CS003352/"
"1002-84-2",3311,"C15azr","pentadecaanzuur","ChemischeStof","2011-08-27","2100-01-01","Geldig","","Id-f25b711d-c9a2-445e-8bea-d77dadec70ac","http://vocab.nerc.ac.uk/collection/S27/current/CS000802/"
"1002-84-2",999892,"nC15azr","N-pentadecaanzuur","ChemischeStof","2011-06-08","2011-08-27","Vervallen","","Id-739a8af7-6fb0-47c8-a66e-73eac8e2f832","http://vocab.nerc.ac.uk/collection/S27/current/CS000802/"
"10024-97-2",4201,"N2O","distikstofoxide (lachgas)","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-e8b99695-1953-4424-b6be-a78ca96ace11","http://vocab.nerc.ac.uk/collection/S27/current/CS002798/"
"10028-15-6",4338,"ozn","ozon","ChemischeStof","2011-06-08","2100-01-01","Geldig","Id-f604c9a9-3121-4791-b940-b9ad456e6e1c","Id-7869b993-a737-4edf-aaf5-34c3e564aac6","http://vocab.nerc.ac.uk/collection/S27/current/CS003171/"
"10028-17-8",3896,"H3","tritium","ChemischeStof","2011-11-25","2100-01-01","Geldig","","Id-371c45bb-13b8-41a9-b764-c35346853c5b","http://vocab.nerc.ac.uk/collection/S27/current/CS002781/"
"10045-97-3",3518,"Cs137","cesium 137","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-e027e62f-7aed-4194-873f-4f51753fb5b0","http://vocab.nerc.ac.uk/collection/S27/current/CS002370/"
"10061-01-5",521,"c13DClC3e","cis-1,3-dichloorpropeen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-f45c48f8-64f7-4e09-b8a5-79b7613e98f9","http://vocab.nerc.ac.uk/collection/S27/current/CS003355/"
"10061-02-6",1579,"t13DClC3e","trans-1,3-dichloorpropeen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-b41030cb-92f4-4d43-961b-d2ffc87e2e55","http://vocab.nerc.ac.uk/collection/S27/current/CS003382/"
"100646-51-3",4548,"quizlfPC2y","quizalofop-P-ethyl","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-2ad1439a-5ccc-4fea-b832-42ac91b845ba","http://vocab.nerc.ac.uk/collection/S27/current/CS004025/"
"1007-28-9",573,"desiC3yatzne","desisopropylatrazine","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-83a1b3c0-ec32-4ac6-b812-0b706b688673","http://vocab.nerc.ac.uk/collection/S27/current/CS004254/"
"10098-97-2",4705,"Sr90","strontium 90","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-3d985f5a-cd33-41e0-88a4-510849c0f25b","http://vocab.nerc.ac.uk/collection/S27/current/CS002773/"
"101-20-2",5189,"Tccbn","triclocarban","ChemischeStof","2015-01-31","2100-01-01","Geldig","","Id-be1c5ef5-5189-4c8b-a2bd-2d64e4964a39","http://vocab.nerc.ac.uk/collection/S27/current/CS004158/"
"101-21-3",492,"Clpfm","chloorprofam","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-c0be50c0-fc80-41c0-9085-bf55796e114a","http://vocab.nerc.ac.uk/collection/S27/current/CS001600/"
"101-42-8",2451,"fenrn","fenuron","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-38558648-cba3-43a5-9e22-827a881c9bff","http://vocab.nerc.ac.uk/collection/S27/current/CS004091/"
"101-55-3",2334,"4BrFyFyEtr","4-broomfenylfenylether","ChemischeStof","2013-07-06","2100-01-01","Geldig","","Id-706f65e0-2ed8-465b-a686-cc809b4a980e","http://vocab.nerc.ac.uk/collection/S27/current/CS003637/"
"10102-44-0",1273,"NO2","nitriet","ChemischeStof","2011-06-08","2014-07-31","Vervallen","","Id-91ce846e-e47c-4379-b31a-1f484a7c6790","http://vocab.nerc.ac.uk/collection/S27/current/CS003170/"
"101043-37-2",4126,"MC-LR","microcystine-LR","ChemischeStof","2011-08-27","2100-01-01","Geldig","","Id-18097f0d-632e-432c-bc82-51c9c0cf3352","http://vocab.nerc.ac.uk/collection/S27/current/CS004128/"
"101064-48-6",4131,"MC-YR","microcystine-YR","ChemischeStof","2011-08-27","2100-01-01","Geldig","","Id-d58e3585-00a5-4b01-95ac-1fed63f8e211","http://vocab.nerc.ac.uk/collection/S27/current/CS003969/"
"1014-69-3",574,"desmtn","desmetryn","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-590e3fec-0d6e-4d84-a04b-f8190a9ce798","http://vocab.nerc.ac.uk/collection/S27/current/CS004239/"
"10198-40-0",3500,"Co60","kobalt 60","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-ae9f0b9c-be9f-46bc-801a-9829353612d5","http://vocab.nerc.ac.uk/collection/S27/current/CS002765/"
"1024-57-3",272,"cHpClepO","cis-heptachloorepoxide","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-a51d3a32-565d-4fb8-afe4-f0d5d19643c5","http://vocab.nerc.ac.uk/collection/S27/current/CS002440/"
"1024-57-3",272,"cHpClepO","cis-heptachloorepoxide","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-a51d3a32-565d-4fb8-afe4-f0d5d19643c5","http://vocab.nerc.ac.uk/collection/S27/current/CS002802/"
"10265-92-6",4192,"mtmdfs","methamidofos","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-76030e8a-0325-495c-8ba6-aba0fde62bb0","http://vocab.nerc.ac.uk/collection/S27/current/CS004178/"
"102851-06-9",4778,"taufvlnt","tau-fluvalinaat","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-3631ee23-1e70-4c6e-9624-dd7c162b6281","http://vocab.nerc.ac.uk/collection/S27/current/CS003853/"
"103-65-1",1434,"1C3yBen","1-propylbenzeen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-5410d37b-c13e-43b9-9801-15c29c09a1b5","http://vocab.nerc.ac.uk/collection/S27/current/CS003371/"
"103-90-2",4347,"parctml","paracetamol","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-09e241cf-d922-428c-9446-16fa7d482a9c","http://vocab.nerc.ac.uk/collection/S27/current/CS003962/"
"1031-07-8",703,"endsfSO4","endosulfansulfaat","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-81caeaac-bf04-4ec2-a2ca-b6d4291f7b35","http://vocab.nerc.ac.uk/collection/S27/current/CS003625/"
"104-40-5",2364,"4C9yFol","4-nonylfenol","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-5fffd99d-6d8b-4c2b-b1ab-e173fe5bcd1c","http://vocab.nerc.ac.uk/collection/S27/current/CS003211/"
"104-51-8",999887,"NC4yBen","N-butylbenzeen","ChemischeStof","2011-06-08","2011-08-27","Vervallen","","Id-1afc590a-ec04-48c3-9c72-81f5a1f0a387","http://vocab.nerc.ac.uk/collection/S27/current/CS003332/"
"104-51-8",1255,"C4yBen","butylbenzeen","ChemischeStof","2011-08-27","2100-01-01","Geldig","","Id-1c6d8f93-7014-4738-8657-e40c0352ebe8","http://vocab.nerc.ac.uk/collection/S27/current/CS003332/"
"104040-78-0",3789,"flazsfrn","flazasulfuron","ChemischeStof","2012-04-07","2100-01-01","Geldig","","Id-2cce29cc-ac85-43cb-bc9d-35f0e1494c5c","http://vocab.nerc.ac.uk/collection/S27/current/CS004122/"
"10417-94-4",6088,"cC20aPezr","cis-5,8,11,14,17-eicosapentaeenzuur","ChemischeStof","2020-02-04","2100-01-01","Geldig","","Id-c885d1f7-6b94-4f2e-aca7-8e770849015e","http://vocab.nerc.ac.uk/collection/S27/current/CS000354/"
"104206-82-8",4153,"mestone","mesotrione","ChemischeStof","2011-06-08","2011-08-27","Vervallen","","Id-4fd0d4e0-2698-449b-b583-f394a9eb4125","http://vocab.nerc.ac.uk/collection/S27/current/CS004183/"
"104206-82-8",4153,"meston","mesotrion","ChemischeStof","2011-08-27","2100-01-01","Geldig","","Id-f2cafa1c-a31d-4724-b190-8c003066883c","http://vocab.nerc.ac.uk/collection/S27/current/CS004183/"
"104653-34-1",3629,"Dftiln","difethialon","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-094d53b7-3395-4569-b991-402e5424e8c9","http://vocab.nerc.ac.uk/collection/S27/current/CS004139/"
"105-67-9",124,"24DC1yFol","2,4-dimethylfenol","ChemischeStof","2014-05-10","2100-01-01","Geldig","","Id-b099433d-3113-4352-811a-474ba38623a4","http://vocab.nerc.ac.uk/collection/S27/current/CS004440/"
"105-67-9",124,"24DC1yFol","2,4-dimethylfenol","ChemischeStof","2011-06-08","2014-05-09","Vervallen","","Id-67633e51-42cf-4abc-9036-299edf7505bc","http://vocab.nerc.ac.uk/collection/S27/current/CS004440/"
"10540-29-1",4775,"tamxfn","tamoxifen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-ac07db32-d49e-449f-9f21-f0ca0e581d61","http://vocab.nerc.ac.uk/collection/S27/current/CS003974/"
"106-42-3",1362,"14xyln","1,4-xyleen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-be1b0dde-19be-4099-9c81-8a9bc41cee62","http://vocab.nerc.ac.uk/collection/S27/current/CS004343/"
"106-43-4",1358,"4ClTol","4-chloortolueen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-feeef7ef-ef25-41e2-9cca-2c3fd7b7d18f","http://vocab.nerc.ac.uk/collection/S27/current/CS004210/"
"106-44-5",1359,"pcresl","p-cresol","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-3cd6b833-9403-4183-b739-857fe8a63554","http://vocab.nerc.ac.uk/collection/S27/current/CS004342/"
"106-46-7",54,"14DClBen","1,4-dichloorbenzeen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-403728a4-5b5f-41dd-94f1-bb6bea25446a","http://vocab.nerc.ac.uk/collection/S27/current/CS003234/"
"106-47-8",228,"4ClAn","4-chlooraniline","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-7e006714-d6a4-4fd5-8d90-c1aec37e5ac5","http://vocab.nerc.ac.uk/collection/S27/current/CS004338/"
"106-48-9",229,"4ClFol","4-chloorfenol","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-78141115-1ceb-407a-9099-ac8e3d63a74a","http://vocab.nerc.ac.uk/collection/S27/current/CS003841/"
"106-89-8",710,"epClhdne","epichloorhydrine","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-8d6f0d4e-121f-4b28-a763-9e41007ba911","http://vocab.nerc.ac.uk/collection/S27/current/CS004150/"
"106-93-4",1724,"12DBrC2a","1,2-dibroomethaan","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-b8456694-3adf-42c9-8bf7-3dc8f3ba9591","http://vocab.nerc.ac.uk/collection/S27/current/CS003330/"
"106-97-8",1789,"C4a","butaan","ChemischeStof","2013-07-06","2100-01-01","Geldig","","Id-c0fb8271-cbdd-41fd-a192-3d54566202dd","http://vocab.nerc.ac.uk/collection/S27/current/CS003273/"
"106-99-0",2819,"13butDen","1,3-butadieen","ChemischeStof","2011-06-08","2014-01-27","Vervallen","","Id-68388c58-95f9-4516-a6d3-ec1d45b9f284","http://vocab.nerc.ac.uk/collection/S27/current/CS003227/"
"106-99-0",2819,"13butDen","1,3-butadieen","ChemischeStof","2014-01-28","2100-01-01","Geldig","","Id-6b2cab8e-46f2-4c91-bd1e-e2273c99210d","http://vocab.nerc.ac.uk/collection/S27/current/CS003227/"
"10605-21-7",460,"carbdzm","carbendazim","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-0c272318-be59-43d8-9d70-88a0004377c2","http://vocab.nerc.ac.uk/collection/S27/current/CS004295/"
"1066-51-9",292,"AMPA","aminomethylfosfonzuur","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-37fef35b-8039-4402-ba45-1e28c6392b61","http://vocab.nerc.ac.uk/collection/S27/current/CS003820/"
"107-05-1",194,"3ClC3e","3-chloorpropeen","ChemischeStof","2011-06-08","2014-05-09","Vervallen","","Id-4eba71bf-bd8c-401a-93fd-b575c41e9800","http://vocab.nerc.ac.uk/collection/S27/current/CS004129/"
"107-05-1",194,"3ClC3e","3-chloorpropeen","ChemischeStof","2014-05-10","2100-01-01","Geldig","","Id-9404a7c6-36bb-45ac-811c-a9bed7df2284","http://vocab.nerc.ac.uk/collection/S27/current/CS004129/"
"107-06-2",36,"12DClC2a","1,2-dichloorethaan","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-16725dd0-0c90-4694-87a5-b7a4ddcf00c7","http://vocab.nerc.ac.uk/collection/S27/current/CS003247/"
"107-83-5",166,"2C1yC5a","2-methylpentaan","ChemischeStof","2013-07-06","2100-01-01","Geldig","","Id-d4b10e04-ffc3-4cdf-9249-a2ce0b9542c4","http://vocab.nerc.ac.uk/collection/S27/current/CS003224/"
"1071-83-6",840,"glyfst","glyfosaat","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-22ebc101-7e2c-4e24-8a49-ab9bb3cf4c6d","http://vocab.nerc.ac.uk/collection/S27/current/CS003617/"
"107534-96-3",2298,"tebcnzl","tebuconazol","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-b9cad81c-ae42-4815-87ee-4d1fe2c31c0b","http://vocab.nerc.ac.uk/collection/S27/current/CS003807/"
"108-38-3",1147,"13xyln","1,3-xyleen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-fdbc4c52-e98d-47c0-90c9-aefb8ec0e0b3","http://vocab.nerc.ac.uk/collection/S27/current/CS004169/"
"108-39-4",1145,"mcresl","m-cresol","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-d71c4a57-6cf0-4cdc-8bd2-93a31f1e8274","http://vocab.nerc.ac.uk/collection/S27/current/CS004097/"
"108-41-8",1144,"3ClTol","3-chloortolueen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-fdff0610-7fdc-46fa-bd34-da6c908bc171","http://vocab.nerc.ac.uk/collection/S27/current/CS004175/"
"108-42-9",197,"3ClAn","3-chlooraniline","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-6c1d71c9-98e1-4411-840f-295671ca8b95","http://vocab.nerc.ac.uk/collection/S27/current/CS004093/"
"108-43-0",198,"3ClFol","3-chloorfenol","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-ccba2c3f-7018-4fa0-a309-368f6828af6f","http://vocab.nerc.ac.uk/collection/S27/current/CS003803/"
"108-46-3",1460,"13DHOxBen","1,3-dihydroxybenzeen","ChemischeStof","2011-06-08","2100-01-01","Geldig","","Id-5ad3f86d-9a32-498f-b5e6-24df52b79fd0","http://vocab.nerc.ac.uk/collection/S27/current/CS003851/"
