aquo_omschrijving;aquo_cijfercode;bodc_code
Pelagic trawl;62;http://vocab.nerc.ac.uk/collection/L05/current/23/
Videocamera;96;http://vocab.nerc.ac.uk/collection/L05/current/311/
Vacuüm steekbuis;108;http://vocab.nerc.ac.uk/collection/L05/current/391/
Piston-corer;13;http://vocab.nerc.ac.uk/collection/L05/current/51/
Fuik;57;http://vocab.nerc.ac.uk/collection/L05/current/63/
Zuigkor;94;http://vocab.nerc.ac.uk/collection/L05/current/64/
Pomp;68;http://vocab.nerc.ac.uk/collection/L22/current/NETT0173/
Bodemschaaf;45;http://vocab.nerc.ac.uk/collection/L22/current/NETT0190/
Emmer;33;http://vocab.nerc.ac.uk/collection/L22/current/TOOL0536/
Boomkor;55;http://vocab.nerc.ac.uk/collection/L22/current/TOOL0651/
Van Veen happer;15;http://vocab.nerc.ac.uk/collection/L22/current/TOOL0653/
Hamon happer;95;http://vocab.nerc.ac.uk/collection/L22/current/TOOL0960/
Box-corer;46;http://vocab.nerc.ac.uk/collection/L22/current/TOOL1177/
Edelmanboor;20;NA
Riversideboor;25;NA
Puinboor;87;NA
Ramguts;27;NA
Gutsboor;31;NA
Steektoestel zonder folie;53;NA
Aqualock;83;NA
Avegaarboor;54;NA
Beeker-sampler;12;NA
Begeman-sampler;44;NA
Continuous soil sampler;72;NA
Drukkend boorsysteem;73;NA
Eckman-Birge happer;41;NA
Foliesteektoestel;74;NA
Grindboor;24;NA
Hamerend boorsysteem;75;NA
Handpuls;76;NA
Holle avegaar;77;NA
Jenkins-mudsampler;78;NA
Kernboor;79;NA
Mostap;80;NA
Multi-sampler;48;NA
Akkermanboor;42;NA
Pulsboor;26;NA
Sonisch boorsysteem;81;NA
Spitsmuisboor;29;NA
Valbom;14;NA
Van der Horst-steektoestel;82;NA
Veenboor;18;NA
Vibro-corer;16;NA
Vrijwitboor;52;NA
Zuigerboor;17;NA
Akoestische zandtransportmeter;43;NA
Automatisch monstername apparaat;71;NA
Dompelpomp;35;NA
Doorstroomcentrifuge;85;NA
Elektrisch schepnet;56;NA
Flushing sampler;67;NA
Handnet;58;NA
Korf;59;NA
Kuil;60;NA
Modderpuls;47;NA
Mosselkorf;61;NA
Planktonnet;63;NA
Poliepgrijper;49;NA
Pollepel;69;NA
Roset sampler;70;NA
Schietfuik;64;NA
Sedimentval;50;NA
Siliconen rubber passive sampler;84;NA
Slib sampler;51;NA
Snoeischaar;65;NA
Sondeerapparaat;28;NA
Speeddisk passive sampler;86;NA
Spiraal;23;NA
Steekbuis;34;NA
Vacuümpomp;36;NA
Cilindrisch monsternemingstoestel;32;NA
Werpkorf;66;NA
Elektrisch schepnet met keernetten;88;NA
Stortkuil;89;NA
Wonderkuil;90;NA
Zegen;91;NA
Zegen met keernetten;92;NA
Elektrostramienkor;93;NA
Atoomkuil;97;NA
Ankerkuil;98;NA
Graafmachine;99;NA
Schep;100;NA
Wortelboor;101;NA
Veenguts;102;NA
Geoprobe;103;NA
Maatbeker;104;NA
Peristaltische pomp;105;NA
Telescopische stok met flessenhouder;106;NA
Stootijzer;107;NA
Macrozoöbenthos zuiger;109;NA
