SDN_L05_code;Aquo_bemonste_app_omschrijving;URI_L05;URI_L22
60;Bodemschaaf;http://vocab.nerc.ac.uk/collection/L05/current/60;
62;Boomkor;http://vocab.nerc.ac.uk/collection/L05/current/62;
51;Box-corer;http://vocab.nerc.ac.uk/collection/L05/current/51;
83;Doorstroomcentrifuge;http://vocab.nerc.ac.uk/collection/L05/current/83;
30;Emmer;http://vocab.nerc.ac.uk/collection/L05/current/30;
31;Pomp;http://vocab.nerc.ac.uk/collection/L05/current/31;
30;Roset sampler;http://vocab.nerc.ac.uk/collection/L05/current/30;http://vocab.nerc.ac.uk/collection/L22/current/TOOL0501/
30;Roset-sampler;http://vocab.nerc.ac.uk/collection/L05/current/30;http://vocab.nerc.ac.uk/collection/L22/current/TOOL0501/
33;Sedimentval;http://vocab.nerc.ac.uk/collection/L05/current/33;
50;Van Veenhapper;http://vocab.nerc.ac.uk/collection/L05/current/50;http://vocab.nerc.ac.uk/collection/L22/current/TOOL0653/
50;Hammond happer;http://vocab.nerc.ac.uk/collection/L05/current/50;http://vocab.nerc.ac.uk/collection/L22/current/TOOL0960/
311;Video;http://vocab.nerc.ac.uk/collection/L05/current/311/;
62;Zuigkor;http://vocab.nerc.ac.uk/collection/L05/current/62;
31;Meetvis;http://vocab.nerc.ac.uk/collection/L05/current/31/;http://vocab.nerc.ac.uk/collection/L22/current/TOOL0561/
30;Niskin bottle;https://vocab.nerc.ac.uk/collection/L05/current/30/;https://vocab.nerc.ac.uk/collection/L22/current/TOOL0412/
23;Pelagic trawl;https://vocab.nerc.ac.uk/collection/L05/current/23/;
65;Gillnet;https://vocab.nerc.ac.uk/collection/L05/current/65/;
63;Fuik;https://vocab.nerc.ac.uk/collection/L05/current/63/;
