ID;SDN_P01_code;Aquo_Grootheid_code;Aquo_ChemischeStof_code;Aquo_biotaxon_code;Aquo_Compartiment_code;Aquo_Monstercriterium_code;Aquo_Hoedanigheid_code;D_BEGIN;D_EIND;D_STATUS
1;"AFLGM001";"MASSFTE";"DC4ySn";;"BS";"Dk0063";"dg";11-12-2014;;"G"
2;"AFLGM002";"MASSFTE";"DFySn";;"BS";"Dk0063";"dg";11-12-2014;;"G"
3;"AFLGM006";"MASSFTE";"TFySn";;"BS";"Dk0063";"dg";11-12-2014;;"G"
4;"AFLGM013";"MASSFTE";"TC4ySn";;"ZS";;"dg";11-12-2014;;"G"
5;"AFLGM014";"MASSFTE";"TFySn";;"ZS";;"dg";11-12-2014;;"G"
6;"AFLGM017";"MASSFTE";"DC4ySn";;"ZS";;"dg";11-12-2014;;"G"
7;"AFLGM018";"MASSFTE";"DFySn";;"ZS";;"dg";11-12-2014;;"G"
8;"AFLGM026";"MASSFTE";"HCB";;"ZS";;"dg";11-12-2014;;"G"
9;"AHBDRM19";"AANTPOPVTE";;"Idotea chelipes";"BS";;;11-12-2014;;"G"
10;"AHBDRMA9";"AANTPOPVTE";;"Idotea linearis";"BS";;;11-12-2014;;"G"
11;"ANTDWT02";"MASSFTE";"Ant";;"BS";"Dk0063";"dg";11-12-2014;;"G"
12;"ANUFWC02";"CONCTTE";"Ant";;"OW";;;11-12-2014;;"G"
13;"CDAFWC01";"CONCTTE";"Cd";;"OW";;"nf";11-12-2014;;"G"
14;"CDUFWC02";"CONCTTE";"Cd";;"OW";;;11-12-2014;;"G"
571;"CIDAHPP1";"CONCTTE";"CHLFa";;"OW";;"NVT";01-10-2016;;"G"
15;"CONCDS02";"MASSFTE";"Cd";;"BS";"Dk0063";"dg";11-12-2014;;"G"
16;"CONHGS02";"MASSFTE";"Hg";;"BS";"Dk0063";"dg";11-12-2014;;"G"
17;"CONPBS02";"MASSFTE";"Pb";;"BS";"Dk0063";"dg";11-12-2014;;"G"
18;"CONTBTS2";"MASSFTE";"TC4ySn";;"BS";"Dk0063";"dg";11-12-2014;;"G"
19;"CPAHSD07";"MASSFTE";"BaP";;"BS";"Dk0063";"dg";11-12-2014;;"G"
20;"CPAHSD08";"MASSFTE";"BbF";;"BS";"Dk0063";"dg";11-12-2014;;"G"
21;"CPAHSD09";"MASSFTE";"BghiPe";;"BS";"Dk0063";"dg";11-12-2014;;"G"
22;"CPAHSD10";"MASSFTE";"BkF";;"BS";"Dk0063";"dg";11-12-2014;;"G"
23;"CPAHSD14";"MASSFTE";"InP";;"BS";"Dk0063";"dg";11-12-2014;;"G"
24;"CPAHWC07";"CONCTTE";"BaP";;"OW";;;11-12-2014;;"G"
25;"CPAHWC08";"CONCTTE";"BbF";;"OW";;;11-12-2014;;"G"
26;"CPAHWC09";"CONCTTE";"BghiPe";;"OW";;;11-12-2014;;"G"
27;"CPAHWC10";"CONCTTE";"BkF";;"OW";;;11-12-2014;;"G"
28;"CPAHWC14";"CONCTTE";"InP";;"OW";;;11-12-2014;;"G"
29;"CRAFWC01";"CONCTTE";"Cr";;"OW";;"nf";11-12-2014;;"G"
30;"CRUFWC02";"CONCTTE";"Cr";;"OW";;;11-12-2014;;"G"
