WaardeBepalingsmethode.Code;WaardeBepalingsmethode.Omschrijving
other:A652;Organo-tinverbindingen in biota mbv GC-MSD
NVT;Waarde is niet van toepassing
ZINTUIGLIJK;Niet genormaliseerde zintuiglijke waardebepaling
other:A1680;Bepaling Nikkel in biota met GFAAS
other:N5623;Bepaling mbv halfgeleider gammaspectrometrie
other:A067;Org. koolstof/stikstof mbv Gas Chromatografie (Carlo Erba)
other:A421;Bepaling van HCB en PCB's in sediment en ZS met GC-MSD
other:A1690;Bepaling Cd, Cu, Pb en Zn in biota met ICP/MS (RIVO)
other:I17294_2;Toep. van massaspectr. met inductief gekozen plasma ICP-MS
other:A404;Bepaling van PAK met HPLC en FL-detectie
other:A034;De bepaling van nat gewicht, droog gewicht, % droge stof
other:A063;Bepaling sedimentsamenstelling
other:A064;Deeltjesgrootteverdeling dmv laserdiffractie
other:A088;Bepaling van droge stof/gloeiverlies
other:A1600;Bepaling Arsenicum in biota
other:A1610;Bepaling Cadmium in biota
other:A1620;Bepaling Chroom in biota
other:A1630;Bepaling Koper in biota
other:A1640;Bepaling Lood in biota
other:A1650;Bepaling Kwik in biota
other:A1660;Bepaling Nikkel in biota
other:A1670;Bepaling Zink in biota
other:A1700;Bepaling PCB en pesticiden in biota
other:A1800;Bepaling PAK's in biota
other:A1900;Bepaling vet volgens Bligh en Dyer
other:A1901;Bepaling vocht in biota
other:A408;Bepaling gehalte totaal en apolair vet
other:A420;Bep. brandvertragers met GCMS met negatieve ionisatie
other:A802;Vaststellen van intersex Alikruik (RIKZ SV BC109)
other:B101;Bepaling biologische parameters van vis tbv chemische bep.
other:B1680;Bepaling sulfaat in as van biota
other:I16772;kwik in bodemextracten mbv atomaire spectrometrie koude damp
other:N5622;Radioactiviteitsbep. massieke totale alfa-act., dikkelaagmet
other:N5627;Radioact.bep. massieke totale en rest beta-act. telmonster
other:N6620;Gravimetrische bepaling indamprest en gloeirest
other:X068;Bepaling van kwik door vlamloze AAS (Imares, ISW 2.10.3.025)
other:X069;Bepaling arseen spectrofotometrisch (Imares, ISW A047)
other:X070;Bepaling metalen met ICP/MS (TNO, LSP/055)
other:X071;Bep. van PCB's ea gehalog.Microveront.(Imares,ISW2.10.3.001)
other:X072;Bep. van geh.vocht met droogstoofmeth.(Imares,ISW2.10.3.011)
other:X073;Bep. tot. vetgehalte  Bligh en Dyer(Imares, ISW2.10.3.002)
other:X074;Vaststellen imposex mariene slakken (Imares)
other:X078;Bep. gehalte as (Imares, ISW 2.10.3.018)
other:X079;Bep. polycycl. koolw.stoffen met HPLC (Imares,ISW2.10.3.005)
other:X080;Bep. organotinverbindingen GC-MS(SIM)(Imares, ISW2.10.3.024)
other:X087;Bep PBDE's met GC-NCI-MS + HPLC-ECI-MS(Imares,ISW2.10.3.017)
