bodc_S27_id;nih_casnrURI;bodc_S27_altlable;CASnummer;aquo_parameter.code;aquo_parameter.omschrijving;Status
http://vocab.nerc.ac.uk/collection/S27/current/CS000284/;https://chem.nlm.nih.gov/chemidplus/rn/7439-89-6;total_Fe;7439-89-6;Fe;ijzer;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000284/;https://chem.nlm.nih.gov/chemidplus/rn/7439-89-6;total_Fe;7439-89-6;Fe;ijzer;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000298/;https://chem.nlm.nih.gov/chemidplus/rn/7439-89-6;inorganic_Fe;7439-89-6;Fe;ijzer;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000298/;https://chem.nlm.nih.gov/chemidplus/rn/7439-89-6;inorganic_Fe;7439-89-6;Fe;ijzer;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000305/;https://chem.nlm.nih.gov/chemidplus/rn/7439-96-5;total_Mn;7439-96-5;Mn;mangaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000305/;https://chem.nlm.nih.gov/chemidplus/rn/7439-96-5;total_Mn;7439-96-5;Mn;mangaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000326/;https://chem.nlm.nih.gov/chemidplus/rn/57-88-5;cholesterol;57-88-5;cholEsrol;cholesterol;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000333/;https://chem.nlm.nih.gov/chemidplus/rn/156-59-2;NA;156-59-2;c12DClC2e;cis-1,2-dichlooretheen;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000340/;https://chem.nlm.nih.gov/chemidplus/rn/112-86-7;erucic acid C22:1FA cis-13;112-86-7;erczr;erucazuur;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000347/;https://chem.nlm.nih.gov/chemidplus/rn/506-37-6;nervonic acid C24:1FA cis-15;506-37-6;c15C24ezr;cis-15-tetracoseenzuur;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000354/;https://chem.nlm.nih.gov/chemidplus/rn/10417-94-4;timnodonic acid C20:5FA cis5,8,11,14,17;10417-94-4;cC20aPezr;cis-5,8,11,14,17-eicosapentaeenzuur;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000361/;https://chem.nlm.nih.gov/chemidplus/rn/506-32-1;arachidonic acid C20:4FA cis 5,8,11,1;506-32-1;arcdnzr;arachidonzuur;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000368/;https://chem.nlm.nih.gov/chemidplus/rn/506-26-3;gamma-linolenic acid;506-26-3;glnlzr;gamma-linoleenzuur;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000375/;https://chem.nlm.nih.gov/chemidplus/rn/56-72-4;NA;56-72-4;cumfs;cumafos;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000382/;https://chem.nlm.nih.gov/chemidplus/rn/1163-19-5;BDE209 decabromodiphenyl oxide;1163-19-5;PBDE209;2,2',3,3',4,4',5,5',6,6'-decabroomdiphenylether;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000396/;https://chem.nlm.nih.gov/chemidplus/rn/319-86-8;delta-HCH;319-86-8;dHCH;delta-hexachloorcyclohexaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000396/;https://chem.nlm.nih.gov/chemidplus/rn/319-86-8;delta-HCH;319-86-8;dHCH;delta-hexachloorcyclohexaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000403/;https://chem.nlm.nih.gov/chemidplus/rn/52918-63-5;NA;52918-63-5;dmtn;deltamethrin;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000410/;https://chem.nlm.nih.gov/chemidplus/rn/126-75-0;NA;126-75-0;demtnS;demeton-S;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000417/;https://chem.nlm.nih.gov/chemidplus/rn/919-86-8;NA;919-86-8;demtSC1y;demeton-S-methyl;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000424/;https://chem.nlm.nih.gov/chemidplus/rn/333-41-5;NA;333-41-5;Daznn;diazinon;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000438/;https://chem.nlm.nih.gov/chemidplus/rn/60-51-5;NA;60-51-5;Dmtat;dimethoaat;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000459/;https://chem.nlm.nih.gov/chemidplus/rn/3347-22-6;NA;3347-22-6;Dtann;dithianon;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000487/;https://chem.nlm.nih.gov/chemidplus/rn/112-53-8;C12 alkanol lauryl alcohol;112-53-8;1C12ol;1-dodecanol;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000501/;https://chem.nlm.nih.gov/chemidplus/rn/143-07-7;C12:0FA lauric acid;143-07-7;C12azr;dodecaanzuur;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000508/;https://chem.nlm.nih.gov/chemidplus/rn/2439-10-3;1-dodecylguanidine acetate;2439-10-3;dodne;dodine;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000508/;https://chem.nlm.nih.gov/chemidplus/rn/2439-10-3;1-dodecylguanidine acetate;2439-10-3;dodne;dodine;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000522/;https://chem.nlm.nih.gov/chemidplus/rn/544-85-4;C32H66 C32_n-alkane;544-85-4;C32a;dotriacontaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000522/;https://chem.nlm.nih.gov/chemidplus/rn/544-85-4;C32H66 C32_n-alkane;544-85-4;C32a;dotriacontaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000536/;https://chem.nlm.nih.gov/chemidplus/rn/112-95-8;C20H42 C20_n-alkane icosane;112-95-8;C20a;eicosaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000536/;https://chem.nlm.nih.gov/chemidplus/rn/112-95-8;C20H42 C20_n-alkane icosane;112-95-8;C20a;eicosaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000543/;https://chem.nlm.nih.gov/chemidplus/rn/66230-04-4;NA;66230-04-4;esfvlrt;esfenvaleraat;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000550/;https://chem.nlm.nih.gov/chemidplus/rn/53-16-7;oestrone;53-16-7;oestn;oestron;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000550/;https://chem.nlm.nih.gov/chemidplus/rn/53-16-7;oestrone;53-16-7;oestn;oestron;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000557/;https://chem.nlm.nih.gov/chemidplus/rn/57-63-6;ethinyloestradiol;57-63-6;etnetDol;ethinylestradiol;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000557/;https://chem.nlm.nih.gov/chemidplus/rn/57-63-6;ethinyloestradiol;57-63-6;etnetDol;ethinylestradiol;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000564/;https://chem.nlm.nih.gov/chemidplus/rn/22224-92-6;NA;22224-92-6;fenamfs;fenamifos;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000571/;https://chem.nlm.nih.gov/chemidplus/rn/122-14-5;NA;122-14-5;feNO2ton;fenitrothion;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000578/;https://chem.nlm.nih.gov/chemidplus/rn/72490-01-8;NA;72490-01-8;fenOxcb;fenoxycarb;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000585/;https://chem.nlm.nih.gov/chemidplus/rn/55-38-9;NA;55-38-9;fenton;fenthion;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000592/;https://chem.nlm.nih.gov/chemidplus/rn/370-50-3;NA;370-50-3;flucfrn;flucofuron;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000599/;https://chem.nlm.nih.gov/chemidplus/rn/629-94-7;C21H44 C21_n-alkane henicosane;629-94-7;C21a;heneicosaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000599/;https://chem.nlm.nih.gov/chemidplus/rn/629-94-7;C21H44 C21_n-alkane henicosane;629-94-7;C21a;heneicosaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000634/;https://chem.nlm.nih.gov/chemidplus/rn/629-78-7;C17H36 C17_n-alkane;629-78-7;C17a;heptadecaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000634/;https://chem.nlm.nih.gov/chemidplus/rn/629-78-7;C17H36 C17_n-alkane;629-78-7;C17a;heptadecaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000641/;https://chem.nlm.nih.gov/chemidplus/rn/23560-59-0;NA;23560-59-0;heptnfs;heptenofos;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000648/;https://chem.nlm.nih.gov/chemidplus/rn/67-72-1;NA;67-72-1;HxClC2a;hexachloorethaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000655/;https://chem.nlm.nih.gov/chemidplus/rn/630-01-3;C26H54 C26_n-alkane;630-01-3;C26a;hexacosaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000655/;https://chem.nlm.nih.gov/chemidplus/rn/630-01-3;C26H54 C26_n-alkane;630-01-3;C26a;hexacosaan;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000662/;https://chem.nlm.nih.gov/chemidplus/rn/36653-82-4;C16 alkanol cetyl alcohol;36653-82-4;1C16ol;1-hexadecanol;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000669/;https://chem.nlm.nih.gov/chemidplus/rn/57-10-3;C16:0FA palmitic acid;57-10-3;C16azr;hexadecaanzuur;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000676/;https://chem.nlm.nih.gov/chemidplus/rn/629-96-9;C20 alkanol arachidyl alcohol;629-96-9;1C20ol;1-eicosanol;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000683/;https://chem.nlm.nih.gov/chemidplus/rn/138261-41-3;NA;138261-41-3;imdcpd;imidacloprid;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000690/;https://chem.nlm.nih.gov/chemidplus/rn/34123-59-6;NA;34123-59-6;iptrn;isoproturon;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000697/;https://chem.nlm.nih.gov/chemidplus/rn/330-55-2;NA;330-55-2;linrn;linuron;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000704/;https://chem.nlm.nih.gov/chemidplus/rn/18691-97-9;NA;18691-97-9;metbtazrn;metabenzthiazuron;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000711/;https://chem.nlm.nih.gov/chemidplus/rn/67-56-1;CH3OH;67-56-1;C1ol;methanol;Geldig
http://vocab.nerc.ac.uk/collection/S27/current/CS000718/;https://chem.nlm.nih.gov/chemidplus/rn/93-65-2;mecoprop;93-65-2;MCPP;mecoprop;Geldig
