WaardeBepalingstechniek.Code;WaardeBepalingstechniek.Omschrijving;SDN_S04_ID;SDN_S04_URL;SDN_S04_preferred Label;Remarks;ID ↑;Preferred Label ↑;Definition ↑;Date ↑;
GC-MS;Gaschromatografie - massaspectrometrie;S04194;http://vocab.nerc.ac.uk/collection/S04/current/S04194/;gas chromatography-mass spectrometry;;S04194;gas chromatography-mass spectrometry;A technique to separate gases, volatile substances or substances dissolved in a volatile solvent by transport by an inert gas through a column packed with a sorbent. The separated components are then passed to a mass spectrometer for identification and quantification.;02/10/2006;
NVT;Waarde is niet van toepassing;;#VALUE!;;;;;;;
AAS-GF;Atomaire absorptie spectrometrie - grafietoven;S04196;http://vocab.nerc.ac.uk/collection/S04/current/S04196/;graphite furnace atomic absorption spectroscopy;;S04196;graphite furnace atomic absorption spectroscopy;The sample is volatilised on a graphite platform contained within a graphite tube and its temperature is systematically raised according to a predetermined programme. The resultant vapour is illuminated by a light source with an emission spectrum matched to the analyte of interest. Radiation absorbed by chemically unbound atoms is determined by analysing the transmitted energy relative to the incident energy at each frequency, which is proportional to the elemental concentrations.;02/10/2006;of deze 
GAMMAS;Gammaspectrometrie;S04187;http://vocab.nerc.ac.uk/collection/S04/current/S04187/;gamma spectroscopy;;S04187;gamma spectroscopy;Measurement of the quantity of radiation as a function of energy or wavelength in the gamma waveband (energy >10keV);02/10/2006;
GC;Gaschromatografie (code GC+detectietechniek heeft voorkeur);S04189;http://vocab.nerc.ac.uk/collection/S04/current/S04189/;gas chromatography;;S04189;gas chromatography;A technique to separate gases, volatile substances or substances dissolved in a volatile solvent by transport by an inert gas through a column packed with a sorbent to one of several types of detector.;02/10/2006;
ICP-MS;Inductie gekoppeld plasma - massaspectrometrie;S04209;http://vocab.nerc.ac.uk/collection/S04/current/S04209/;hydride generation inductively-coupled plasma atomic emission spectroscopy;;S04209;hydride generation inductively-coupled plasma atomic emission spectroscopy;Volatile hydrides of the target analytes are generated and passed into an inductively-coupled gas plasma (8-10000 K)) where it is dried, melted, evaporated, atomized, then excited. When the excited atoms pass through the cooler part of the plasma they de-excite releasing photons at specific wavelengths dependent on the element. The wavelength emissions are passed to the optical system which measures their intensities, which are directly proportional to the concentrations of the analytes.;02/10/2006;
LC-FL;Vloeistofchromatografie - fluorescentie  (voorkeur: ID 207);S04182;http://vocab.nerc.ac.uk/collection/S04/current/S04182/;fluorescence high performance liquid chromatography (HPLC);? Is HPLC;S04182;fluorescence high performance liquid chromatography (HPLC);A chromatographic technique for separating and analysing mixtures of substances, using a packed column containing microspheres coated with the stationary phase and where the mobile phase is pumped through the column with a high pressure pump. The emergence of each component of the sample under analysis from the column is monitored using a fluorescence detector.;02/10/2006;
RONTGDF;RÃ¶ntgendiffractie;S04110;http://vocab.nerc.ac.uk/collection/S04/current/S04110/;X-ray diffraction;;S04110;X-ray diffraction;An analytical technique used to identify crystalline solids by measuring the characteristic spaces between layers of atoms or molecules in a crystal.;02/10/2006;
AF;Atomaire fluorescentie;S04135;http://vocab.nerc.ac.uk/collection/S04/current/S04135/;cold vapour atomic fluorescence spectroscopy;? Is cold vapour?;S04135;cold vapour atomic fluorescence spectroscopy;This is an analytical technique for volatile heavy metals such as mercury in which vaporised metal atoms in an argon carrier at room temperature are irradiated by ultra-violet light causing them to fluoresce. The level of emitted radiation at designated wavelengths is used to quantify the amount of metal present.;16/06/2019;
GC-MS-MS;Gaschromatografie - massaspectrometrie - massaspectrometrie;S04194;http://vocab.nerc.ac.uk/collection/S04/current/S04194/;gas chromatography-mass spectrometry;;S04194;gas chromatography-mass spectrometry;A technique to separate gases, volatile substances or substances dissolved in a volatile solvent by transport by an inert gas through a column packed with a sorbent. The separated components are then passed to a mass spectrometer for identification and quantification.;02/10/2006;
