aquo_omschrijving;aquo_cijfercode;bodc_code
Pelagic trawl;62;http://vocab.nerc.ac.uk/collection/L05/current/23/
Videocamera;96;http://vocab.nerc.ac.uk/collection/L05/current/311/
VacuÃ¼m steekbuis;108;http://vocab.nerc.ac.uk/collection/L05/current/391/
Piston-corer;13;http://vocab.nerc.ac.uk/collection/L05/current/51/
Fuik;57;http://vocab.nerc.ac.uk/collection/L05/current/63/
Zuigkor;94;http://vocab.nerc.ac.uk/collection/L05/current/64/
Pomp;68;http://vocab.nerc.ac.uk/collection/L22/current/NETT0173/
Bodemschaaf;45;http://vocab.nerc.ac.uk/collection/L22/current/NETT0190/
Emmer;33;http://vocab.nerc.ac.uk/collection/L22/current/TOOL0536/
Boomkor;55;http://vocab.nerc.ac.uk/collection/L22/current/TOOL0651/
Van Veen happer;15;http://vocab.nerc.ac.uk/collection/L22/current/TOOL0653/
Hamon happer;95;http://vocab.nerc.ac.uk/collection/L22/current/TOOL0960/
Box-corer;46;http://vocab.nerc.ac.uk/collection/L22/current/TOOL1177/
Edelmanboor;20;http://vocab.nerc.ac.uk/collection/L05/current/51/
Riversideboor;25;http://vocab.nerc.ac.uk/collection/L05/current/51/
Puinboor;87;http://vocab.nerc.ac.uk/collection/L05/current/51/
Ramguts;27;http://vocab.nerc.ac.uk/collection/L05/current/51/
Gutsboor;31;http://vocab.nerc.ac.uk/collection/L05/current/51/
Steektoestel zonder folie;53;http://vocab.nerc.ac.uk/collection/L05/current/51/
Aqualock;83;http://vocab.nerc.ac.uk/collection/L05/current/51/
Avegaarboor;54;http://vocab.nerc.ac.uk/collection/L05/current/51/
Beeker-sampler;12;http://vocab.nerc.ac.uk/collection/L05/current/51/
Begeman-sampler;44;http://vocab.nerc.ac.uk/collection/L05/current/51/
Continuous soil sampler;72;NA
Drukkend boorsysteem;73;http://vocab.nerc.ac.uk/collection/L05/current/51/
Eckman-Birge happer;41;NA
Foliesteektoestel;74;http://vocab.nerc.ac.uk/collection/L05/current/51/
Grindboor;24;http://vocab.nerc.ac.uk/collection/L05/current/51/
Hamerend boorsysteem;75;http://vocab.nerc.ac.uk/collection/L05/current/51/
Handpuls;76;http://vocab.nerc.ac.uk/collection/L05/current/51/
Holle avegaar;77;http://vocab.nerc.ac.uk/collection/L05/current/51/
Jenkins-mudsampler;78;http://vocab.nerc.ac.uk/collection/L05/current/51/
Kernboor;79;http://vocab.nerc.ac.uk/collection/L05/current/51/
Mostap;80;http://vocab.nerc.ac.uk/collection/L05/current/51/
Multi-sampler;48;NA
Akkermanboor;42;http://vocab.nerc.ac.uk/collection/L05/current/51/
Pulsboor;26;http://vocab.nerc.ac.uk/collection/L05/current/51/
Sonisch boorsysteem;81;http://vocab.nerc.ac.uk/collection/L05/current/51/
Spitsmuisboor;29;http://vocab.nerc.ac.uk/collection/L05/current/51/
Valbom;14;http://vocab.nerc.ac.uk/collection/L05/current/51/
Van der Horst-steektoestel;82;http://vocab.nerc.ac.uk/collection/L05/current/51/
Veenboor;18;http://vocab.nerc.ac.uk/collection/L05/current/51/
Vibro-corer;16;http://vocab.nerc.ac.uk/collection/L05/current/51/
Vrijwitboor;52;http://vocab.nerc.ac.uk/collection/L05/current/51/
Zuigerboor;17;http://vocab.nerc.ac.uk/collection/L05/current/51/
Akoestische zandtransportmeter;43;NA
Automatisch monstername apparaat;71;NA
Dompelpomp;35;NA
Doorstroomcentrifuge;85;NA
Elektrisch schepnet;56;NA
Flushing sampler;67;http://vocab.nerc.ac.uk/collection/L05/current/391/
Handnet;58;NA
Korf;59;http://vocab.nerc.ac.uk/collection/L05/current/63/
Kuil;60;http://vocab.nerc.ac.uk/collection/L05/current/61/
Modderpuls;47;NA
Mosselkorf;61;http://vocab.nerc.ac.uk/collection/L05/current/63/
Planktonnet;63;http://vocab.nerc.ac.uk/collection/L05/current/22/
Poliepgrijper;49;NA
Pollepel;69;NA
Roset sampler;70;http://vocab.nerc.ac.uk/collection/L05/current/30/
Schietfuik;64;NA
Sedimentval;50;http://vocab.nerc.ac.uk/collection/L05/current/33/
Siliconen rubber passive sampler;84;NA
Slib sampler;51;http://vocab.nerc.ac.uk/collection/L05/current/51/
Snoeischaar;65;NA
Sondeerapparaat;28;NA
Speeddisk passive sampler;86;NA
Spiraal;23;NA
Steekbuis;34;http://vocab.nerc.ac.uk/collection/L05/current/51/
VacuÃ¼mpomp;36;http://vocab.nerc.ac.uk/collection/L05/current/391/
Cilindrisch monsternemingstoestel;32;NA
Werpkorf;66;http://vocab.nerc.ac.uk/collection/L05/current/24/
Elektrisch schepnet met keernetten;88;NA
Stortkuil;89;http://vocab.nerc.ac.uk/collection/L05/current/23/
Wonderkuil;90;http://vocab.nerc.ac.uk/collection/L05/current/23/
Zegen;91;http://vocab.nerc.ac.uk/collection/L05/current/61/
Zegen met keernetten;92;http://vocab.nerc.ac.uk/collection/L05/current/61/
Elektrostramienkor;93;http://vocab.nerc.ac.uk/collection/L05/current/23/
Atoomkuil;97;http://vocab.nerc.ac.uk/collection/L05/current/23/
Ankerkuil;98;http://vocab.nerc.ac.uk/collection/L05/current/23/
Graafmachine;99;http://vocab.nerc.ac.uk/collection/L05/current/50/
Schep;100;http://vocab.nerc.ac.uk/collection/L05/current/50/
Wortelboor;101;NA
Veenguts;102;http://vocab.nerc.ac.uk/collection/L05/current/51/
Geoprobe;103;NA
Maatbeker;104;NA
Peristaltische pomp;105;http://vocab.nerc.ac.uk/collection/L05/current/31/
Telescopische stok met flessenhouder;106;http://vocab.nerc.ac.uk/collection/L05/current/30/
Stootijzer;107;NA
MacrozoÃ¶benthos zuiger;109;http://vocab.nerc.ac.uk/collection/L05/current/24/
