Grootheid.Code;Grootheid.Omschrijving;S06 (direct match);S29 Direct match;nearest match to any;S02 (direct match, model relationship);Matrix 
KGF;Korrelgroottefractie;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600192/;;
MASSFTE;Massafractie;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600042/;;
ACTVTCCTTE;Activiteitsconcentratie;;;;;
DG;Drooggewicht;http://vocab.nerc.ac.uk/collection/S06/current/S0600086/;;;;
NG;Natgewicht;http://vocab.nerc.ac.uk/collection/S06/current/S0600088/;;;;
MASSA;Massa;http://vocab.nerc.ac.uk/collection/S06/current/S0600042/;;;;
MASSPOPVTE;Massa per oppervlakte;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600042/;;
LENGTE;Lengte;http://vocab.nerc.ac.uk/collection/S06/current/S0600015/;;;;
AANTL;Aantal;http://vocab.nerc.ac.uk/collection/S06/current/S0600070/;;;;
AANTPOPVTE;Aantal per oppervlakte;http://vocab.nerc.ac.uk/collection/S06/current/S0600070/;;;;
D10;maximale korreldiameter voor 10% van het monstervolume;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600192/ allen van deze hebben de methode erbij gespecificeerd in BODC;;
D20;maximale korreldiameter voor 20% van het monstervolume;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600192/;;
D30;maximale korreldiameter voor 30% van het monstervolume;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600192/;;
D40;maximale korreldiameter voor 40% van het monstervolume;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600192/;;
D50;maximale korreldiameter voor 50% van het monstervolume;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600192/;;
D60;maximale korreldiameter voor 60% van het monstervolume;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600192/;;
D70;maximale korreldiameter voor 70% van het monstervolume;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600192/;;
D80;maximale korreldiameter voor 80% van het monstervolume;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600192/;;
D90;maximale korreldiameter voor 90% van het monstervolume;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600192/;;
AANTPVLME;Aantal per volume;http://vocab.nerc.ac.uk/collection/S06/current/S0600002/;;;;
NVT;Waarde is niet van toepassing;;;;;
WINDRTG;Windrichting;;http://vocab.nerc.ac.uk/collection/S29/current/PE001246/;;;
WINDRTGVERWACHT;Windrichting verwacht;;http://vocab.nerc.ac.uk/collection/S29/current/PE001246/;;;
LUCHTDK;Luchtdruk;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600168/;;
ZICHT;Doorzicht;;;http://vocab.nerc.ac.uk/collection/S06/current/S0600174/;;
